Table,Field,ShortDesc,Description,DataType,VisibleInRanking
"tblS1Facilities","AnniversaryDate","Anniversary Date","5 year anniversary date.","Date/Time",0
"tblS1Facilities","AttachmentsIndicator","Attachments Indicator","An indication of whether one or more attachments other than graphics were submitted with the RMP. ‘Y’es or ‘N’o","Yes/No",0
"tblS1Facilities","CAA_TitleV","1.12.c CAA Title V","Indicate if your facility has a CAA Title V Operating Permit with “Y.”  CAA Title V Air Operating Permit ID Title V (Part 70) of the Clean Air Act (40CFR70) requires major sources of air pollution to obtain permits.","Yes/No",0
"tblS1Facilities","CBI_Flag","CBI Flag: Number of FTEs","If number of full time employees is claimed as CBI. ‘Y’es or ‘N’o","Yes/No",0
"tblS1Facilities","CBIFlag","CBI Flag: RMP","An indication that Confidential Business Information (CBI) was claimed for certain data elements in the record.  ‘Y’es or ‘N’o","Yes/No",0
"tblS1Facilities","CBISubstantiationFlag","CBI Flag: Substantiation Included","An indication that a CBI substantiation was included with the RMP.  ‘Y’es or ‘N’o","Yes/No",0
"tblS1Facilities","CBIUnsanitizedVersionFlag","CBI Flag: Unsanitized Version Included","An indication of whether the unsanitized version of the RMP is present.  ‘Y’es or ‘N’o","Yes/No",0
"tblS1Facilities","CertificationReceivedFlag","Certification Received Flag","A flag to indicate whether the certification letter accompanied the RMP submission.  The default for this field is “N.” ‘Y’es or ‘N’o","Yes/No",0
"tblS1Facilities","ClearAirOpPermitID","1.12.d Air Operating Permit ID","Unique identifier for a CAA Title V Air Operating Permit or state equivalent ID.","Text",0
"tblS1Facilities","Company2DUNS","1.4.c Parent Company #2 DUNS","If your facility is owned by a joint venture, this is the DUNS Number assigned by Dun & Bradstreet to the second parent company.","Text",0
"tblS1Facilities","Company2Name","1.1.c Parent Company #2 Name","Second Parent Company name for joint ventures.","Text",0
"tblS1Facilities","CompanyDUNS","1.4.b Parent Company #1 DUNS","The DUNS Number assigned by Dun & Bradstreet to the parent of the company of interest.","Text",0
"tblS1Facilities","CompletionCheckDate","Completion Check Date","The date that the RMP was validated by EPA.","Date/Time",0
"tblS1Facilities","DeRegistrationDate","De-registration Date","Date that the request to de-register the facility was entered into the system at the reporting center.","Date/Time",0
"tblS1Facilities","DeRegistrationEffectiveDate","De-registration Effective Date","Date that the facility de-registration becomes effective.","Date/Time",0
"tblS1Facilities","ElectronicWaiverReceivedFlag","Electronic Waiver Received Flag","An indication of whether an electronic waiver accompanied the submission, if the submission came in paper.  The default for this field is “N”. ‘Y’es or ‘N’o","Yes/No",0
"tblS1Facilities","EmergencyContactExt_PIN","1.8.e 24-Hour Phone Extention/PIN","Phone extension or pager number for the 24-Hour Phone.","Text",0
"tblS1Facilities","EmergencyContactName","1.8.a Emergency Contact Name","Name of person designated as the emergency contact for the facility.","Text",0
"tblS1Facilities","EmergencyContactPhone","1.8.c Emergency Contact Phone","Phone number where the emergency contact can be reached during normal working hours.","Text",0
"tblS1Facilities","EmergencyContactTitle","1.8.b Emergency Contact Title","Title or job classification of the emergency contact.","Text",0
"tblS1Facilities","EPAFacilityID","1.2 EPA Facility Identifier","Unique identifier for all RMPs submitted by a specific facility (assigned by Reporting Center for first-time submission). * After this number is assigned to the first submission for a facility, subsequent submissions for the same facility must include this identifier.","Text",0
"tblS1Facilities","EPCRA_302","1.12.b Covered by: EPCRA 302","EPCRA Section 302 pertains to the Extremely Hazardous Substances list.  Any facility with a toxic regulated substance above the threshold quantity in a process is subject to EPCRA 302.  If the facility is covered for only flammable regulated substances, the facility is not subject to 40 CFR 355
for those substances, although the facility may be for toxic substances not affected by this Rule.","Yes/No",0
"tblS1Facilities","ErrorReportDate","Error Report Date","System generated data element that indicates the date that the error report was created by the system.","Date/Time",0
"tblS1Facilities","Facility4DigitZipExt","1.5.e Facility ZIP Extention","The four-digit extension code that represents the geographic segment that is a sub-unit of the ZIP Code and further refines the exact location of the facility.","Text",0
"tblS1Facilities","FacilityCity","1.5.c Facility City","The name of the city, town, or village where the facility is located.","Text",0
"tblS1Facilities","FacilityCountyFIPS","1.5.f Facility County","Federal Information Processing Standard (FIPS) code for the county in which the facility is located.","Text",0
"tblS1Facilities","FacilityDUNS","1.4.a Facility DUNS","The Data Universal Numbering System (DUNS) number assigned by Dun & Bradstreet to the facility.","Text",0
"tblS1Facilities","FacilityEmailAddress","1.9.a Facility or Parent Company E-mail Address","The text that represents the electronic mail (email) address for the facility or parent company.","Text",0
"tblS1Facilities","FacilityID","RMP Identifier","Unique identifier for all RMPs submitted by a specific facility (assigned by Reporting Center for first-time submission). * After this number is assigned to the first submission for a facility, subsequent submissions for the same facility must include this identifier.","Long Integer",0
"tblS1Facilities","FacilityLatDecDegs","1.5.g Facility Latitude (Decimal Degrees)","Facility Latitude in decimal degrees.","Double",0
"tblS1Facilities","FacilityLongDecDegs","1.5.h Facility Longitude (Decimal Degrees)","Facility Longitude in decimal degrees.","Double",0
"tblS1Facilities","FacilityName","1.1.a Facility Name","Facility name specific to the site.","Text",0
"tblS1Facilities","FacilityPhoneNumber","1.9.b Facility Public Contact Phone Number","Facility phone number for public inquiries to contact owner, 112(r) person responsible, etc.","Text",0
"tblS1Facilities","FacilityState","1.5.d Facility State","The U.S. Postal Service abbreviation for the state in which the facility is located.","Text",0
"tblS1Facilities","FacilityStr1","1.5.a Facility Street - Line 1","Facility Street - Line 1 using local street and road designations.  No post office box numbers or rural route numbers.  This is not the mailing address.","Text",0
"tblS1Facilities","FacilityStr2","1.5.b Facility Street - Line 2","Facility Street Address - Line 2","Text",0
"tblS1Facilities","FacilityURL","1.9.c Facility or Parent Company WWW Homepage Address","Facility or Parent Company homepage web address.","Text",0
"tblS1Facilities","FacilityZipCode","1.5.e Facility ZIP Code","The Zoning Improvement Plan (ZIP) Code assigned to the facility by the U.S. Postal Service which represents a geographic area that facilitates mail
delivery.","Text",0
"tblS1Facilities","ForeignCountry","1.6.g Foreign Country","If the Owner or Operator (reported in 1.6.a) has an address outside the USA as his or her primary mailing address, enter the foreign country’s code representing the name of the foreign country.  If the primary address is in the USA, leave this field blank.","Text",0
"tblS1Facilities","ForeignStateProv","1.6.f Foreign State or Province","If the Owner or Operator (reported in 1.6.a) has an address outside the USA as his or her primary mailing address, enter the name of the foreign state
or province.  If the primary address is in the USA, or if there is no state or province in the foreign mailing address, leave this field blank.","Text",0
"tblS1Facilities","ForeignZipCode","1.6.h Foreign ZIP Code","If the Owner or Operator (reported in 1.6.a) has an address outside the USA as his or her primary mailing address, enter the International Postal Code
that represents the address’s postal zone.  If the primary address is in the USA, or if there is no state or province in the foreign mailing address, leave this field blank.","Text",0
"tblS1Facilities","FTE","1.11 Number of Full Time Employees (FTEs)","Number of full-time equivalent employees.","Long Integer",1
"tblS1Facilities","GraphicsIndicator","Graphics Indicator","An indication of whether one or more attachments other than graphics were submitted with the RMP. ‘Y’es or ‘N’o","Yes/No",0
"tblS1Facilities","LatLongDescription","1.5.j Lat/Long Description","Code for the physical place corresponding to the coordinate.  Codes can be obtained from MAD Version 6.1 Standard as implemented in Envirofacts Locational Reference Tables (EF LRT).  http://www.epa.gov/enviro/html/lrt/lrt_over.html","Text",0
"tblS1Facilities","LatLongMethod","1.5.i Lat/Long Method","Code representing method used to obtain latitude or longitude data.  Codes can be obtained from Method Accuracy Description (MAD) Version 6.1
Information Coding Standards as implemented in Envirofacts Locational Reference Tables (EF LRT).  http://www.epa.gov/enviro/html/lrt/lrt_over.html","Text",0
"tblS1Facilities","LEPC","1.10 LEPC","Local Emergency Planning Committee (LEPC) associated with the facility county.  For LEPC information refer to the LEPC/SERC Net Web site
at http://www.RTK.NET:80/lepc.  Must cover all or part of the Facility County.","Text",0
"tblS1Facilities","NoAccidents","No Accidents Flag","Optional Flag to Indicate whether there are any accidents to report.","Yes/No",0
"tblS1Facilities","OperatorCity","1.6.e Owner/Operator City","City for the business mailing address for the Owner or Operator.","Text",0
"tblS1Facilities","OperatorName","1.6.a Owner/Operator Name","Name of the person or entity that owns or operates the facility.","Text",0
"tblS1Facilities","OperatorPhone","1.6.b Owner/Operator Phone","Phone number for the Owner or Operator.","Text",0
"tblS1Facilities","OperatorStateFIPS","1.6.f Owner/Operator State","The U.S. Postal Service state abbreviation for the address of the Owner or Operator.","Text",0
"tblS1Facilities","OperatorStr1","1.6.c Owner/Operator Street - Line 1","Line 1 of the business street mailing address for the Owner or Operator.","Text",0
"tblS1Facilities","OperatorStr2","1.6.d Owner/Operator Street - Line 2","Line 2 of the business street mailing address for the Owner or Operator.","Text",0
"tblS1Facilities","OperatorZipCode","1.6.g Owner/Operator ZIP Code","ZIP Code for the business mailing address of the Owner or Operator.","Text",0
"tblS1Facilities","OperatorZipCodeExt","1.6.g Owner/Operator ZIP four-digit extention code","The four-digit extension code that represents the geographic segment that is a subunit of the ZIP Code and further refines the business mailing address of the Owner or Operator.","Text",0
"tblS1Facilities","OSHA_PSM","1.12.a Covered by: OSHA PSM","Occupational Safety and Health Act (OSHA) Process Safety Management (PSM) Standard. Question covers all processes at the facility; if any process at the facility is subject to OSHA PSM, must answer “Y” even if the PSM process is not covered by this Rule.","Yes/No",0
"tblS1Facilities","OSHARanking","1.13 OSH Star or Merit Ranking","A stationary source with a Star or Merit ranking under OSHA's voluntary protection program shall be exempt from audits under paragraph (b)(2) and
(b)(7) of [Section 68.220 - audits].","Yes/No",0
"tblS1Facilities","OtherEPAFacilityID","1.3 Other EPA Systems Program Facility Identifier","The unique identification number assigned to a facility by the Facility Index System (FINDS) (or if not known, the Resource Conservation and Recovery Act (RCRA), Emergency Planning and Community Right-to-Know Act (EPCRA), TRI, or other EPA facility identifier).","Text",0
"tblS1Facilities","ParentCompanyName","1.1.b Parent Company #1 Name","First Parent Company Name.","Text",0
"tblS1Facilities","Phone24","1.8.d 24-Hour Phone","Number where emergency contact can be reached during non-working hours, such as a beeper number.","Text",0
"tblS1Facilities","PostmarkDate","Postmark Date","The postmark date of the RMP received material.","Date/Time",0
"tblS1Facilities","PredictiveFilingFlag","Predictive Filing Flag","An indication that the submitter is using Predictive Filing for the facility's RMP.","Yes/No",0
"tblS1Facilities","ReceiptDate","Receipt Date","The date the diskettes or paper submission was received by the Records Center.","Date/Time",0
"tblS1Facilities","RMPCompleteFlag","RMP Complete Flag","Flag to indicate whether the RMP passed RMP*Process validation and is considered complete, or failed and is considered incomplete.","Yes/No",0
"tblS1Facilities","RMPContact","1.7.a Name of Person Responsible for RMP Implementaion","Person or position responsible for RMP implementation (40 CFR Part 68).","Text",0
"tblS1Facilities","RMPDescription","RMP Description","RMP Description is an optional description for the whole RMP.  RMP Description is not accessible to  RMP*Info on the Web.","Text",0
"tblS1Facilities","RMPTitle","1.7.b Title/Position of Person Responsible for RMP Implementaion","Title of person or position responsible for RMP implementation (40 CFR Part 68).","Text",0
"tblS1Facilities","SafetyInspectionBy","1.15 Last Safety Inspection Performed by:","A designation representing the external agency that performed the last safety inspection. One or more of the following is expected: 
   OSHA
   State OSHA
   EPA
   State EPA
   Fire Department
   Never had a safety inspection
   Other","Text",0
"tblS1Facilities","SafetyInspectionDate","1.14 Last Safety Inspection Date","Date of last safety inspection, by an external Agency.","Date/Time",0
"tblS1Facilities","SubmissionMethod","Submission Method","The method in which the RMP was submitted, either by RMP*Submit, paper, a commercial software vendor, or other submission method.","Text",0
"tblS1Facilities","SubmissionType","Submission Type","Submission Type 
“F” - First-time submission
“R” - Resubmission
“C” - Correction of existing RMP","Text",0
"tblS1Facilities","ValidLatLongFlag","Valid Lat/Long Flag","Flag used to indicate whether the Latitude/Longitude is valid.","Yes/No",0
"tblS1Facilities","VersionNumber","Version Number","Indicates which version of RMP software was used to submit the plan.  Generated by RMP*Submit and 3rd-party programs.","Text",0
"tblS1FlammableMixtureChemicals","ChemicalID","Chemical ID","Chemical Abstract Service (CAS) registry number for the flammable chemical.","Long Integer",0
"tblS1FlammableMixtureChemicals","FlamMixChemID","Flam Mix Chem ID","Unique identifier for the Section 1 Flammable Mixture Chemicals record destination table. Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS1FlammableMixtureChemicals","ProcessChemicalID","Process Chemical ID","Unique number used to identify each chemical within a single RMP. Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS1Process_NAICS","NAICSCode","1.17.b NAICS Code","The 5- or 6-digit NAICS Code.","Text",0
"tblS1Process_NAICS","Process_NAICS_ID","Process NAICS ID","Unique number used to identify each NAICS code within a covered process in an RMP.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS1Process_NAICS","ProcessID","Process ID","Unique number used to identify each covered process in an RMP reported in Section 1. Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS1ProcessChemicals","CBI_Flag","CBI Flag","An indication that the quantity was claimed as CBI.","Yes/No",0
"tblS1ProcessChemicals","ChemicalID","Chemical ID","Chemical Abstract Service (CAS) registry number for the chemical.","Long Integer",0
"tblS1ProcessChemicals","ProcessChemicalID","Process Chemical ID","Unique number used to identify each chemical within a single RMP.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS1ProcessChemicals","ProcessID","Process ID","Unique number used to identify each covered process within an RMP from Section 1 Program Level for the Covered Process.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS1ProcessChemicals","Quantity","1.17.c.3 Quantity","The maximum inventory quantity of the regulated substance or mixture in the process in pounds.","Double",1
"tblS1ProcessChemicals","Quantity/Threshold","Maximum quantity of each regulated substance divided by threshold quantity.",,"Double",1
"tblS1Processes","AltID","Process Description","Optional Process Description.","Text",0
"tblS1Processes","CBI_Flag","CBI Flag","If Process Record Contains CBI Data.","Yes/No",0
"tblS1Processes","FacilityID","Facility ID","Unique identifier for all RMPs submitted by a specific facility (assigned by Reporting Center for first-time submission). * After this number is assigned to the first submission for a facility, subsequent submissions for the same facility must include this identifier.","Long Integer",0
"tblS1Processes","ProcessID","Process ID","Unique number used to identify each process within the RMP.  The same number will not necessarily be assigned to the same process for an RMP in a resubmission.","Long Integer",0
"tblS1Processes","ProgramLevel","1.17.a Program Level","Program category, (e.g., Program Level 1, 2, or 3), to identify with which program level the process complies.","Integer",1
"tblS2ToxicsWorstCase","AnalyticalBasis","2.3 Model Used","The analytical basis for choosing the Toxics Worst Case Scenario.   One of the following is expected:
EPA’s OCA Guidance Reference Tables or Equations; 
EPA’s RMP Guidance for Ammonia Refrigeration
Reference Tables or Equations;
EPA’s RMP Guidance for Wastewater Treatment Plants Reference Tables or Equations;
EPA’s RMP Guidance for Warehouses Reference Tables or Equations;
EPA’s RMP Guidance for Chemical Distributors Reference Tables or Equations;
EPA’s RMP*Comp (TM);
Areal Locations of Hazardous Atmosphere
[Aloha (R)];
Other Model Name.","Text",0
"tblS2ToxicsWorstCase","CBI_Flag","CBI Flag","An indication that Confidential Business Information (CBI) was claimed for certain data elements in the record.","Yes/No",0
"tblS2ToxicsWorstCase","Distance2Endpoint","2.11 Distance to endpoint (miles)","The distance to the endpoint in miles for the chemical, using the endpoint specified for the chemical in Appendix A of the risk management program Rule.","Single",1
"tblS2ToxicsWorstCase","ER_FedWilderness",,"An indication that federal wilderness areas are within a circle whose center is the point of the release and radius is determined by the distance to the endpoint.","Yes/No",0
"tblS2ToxicsWorstCase","ER_NatlStateParks",,"An indication that national or state parks, forests, or monuments are within a circle whose center is the point of the release and radius is determined by
the distance to the endpoint.","Yes/No",0
"tblS2ToxicsWorstCase","ER_OtherType",,"The type of environmental receptor if the environmental receptor is other than those listed in 2.14.a. through 2.14.c.","Text",0
"tblS2ToxicsWorstCase","ER_WildlifeSactuary",,"An indication that officially designated wildlife sanctuaries, preserves, or refuges are within a circle whose center is the point of the release and
radius is determined by the distance to the endpoint.","Yes/No",0
"tblS2ToxicsWorstCase","PercentWeight","2.1.b Percent weight of chemical in mixture","Percent weight of a toxic chemical in a mixture.","Single",1
"tblS2ToxicsWorstCase","PhysicalState",,"Code representing the physical state of the regulated chemical as it is  released in the scenario.","Text",0
"tblS2ToxicsWorstCase","PM_Berms",,"An indication that a mound or wall of earth at the top or bottom of a slope that prevents a spill from spreading is in place.","Yes/No",0
"tblS2ToxicsWorstCase","PM_Dikes",,"An indication that a low wall that acts as a barrier to prevent a spill from spreading is in place.","Yes/No",0
"tblS2ToxicsWorstCase","PM_Drains",,"An indication that a channel that carries off surface water is in place.","Yes/No",0
"tblS2ToxicsWorstCase","PM_Enclosures",,"An indication that a physical containment of the release within a structure (e.g., a building) is in place.","Yes/No",0
"tblS2ToxicsWorstCase","PM_OtherType",,"The Passive Mitigation type considered if other than those listed above.","Text",0
"tblS2ToxicsWorstCase","PM_Sumps",,"An indication that a pit or tank that catches liquid runoff for drainage or disposal is in place.","Yes/No",0
"tblS2ToxicsWorstCase","PR_Comm_Ind",,"Indication that a major commercial, office, or industrial area is within the distance to the endpoint specified in the worst case scenario. These include
industrial parks, office buildings, shopping malls, commercial areas.","Yes/No",0
"tblS2ToxicsWorstCase","PR_Hospitals",,"Indication that a hospital is within the distance to the endpoint specified in the worst case scenario.","Yes/No",0
"tblS2ToxicsWorstCase","PR_OtherType",,"The type of public receptor if the public receptor is other than those listed in 2.13.a. through 2.13.f.","Text",0
"tblS2ToxicsWorstCase","PR_Prisons",,"Indication that a prison or correction facility is within the distance to the endpoint specified in the worst case scenario.","Yes/No",0
"tblS2ToxicsWorstCase","PR_PublicRecreation",,"Indication that a recreational area or arena is within the distance to the endpoint specified in the worst case scenario.  These include stadiums, parks, and public pools.","Yes/No",0
"tblS2ToxicsWorstCase","PR_Residences",,"Indication that residences are within the distance to the endpoint specified in the worst case scenario.","Yes/No",0
"tblS2ToxicsWorstCase","PR_Schools",,"Indication that a school is within the distance to the endpoint specified in the worst case scenario. Schools include: public and private elementary,
secondary, and higher education schools.","Yes/No",0
"tblS2ToxicsWorstCase","ProcessChemicalID",,"Unique number used to identify each chemical in a process.  From Section 1 Chemicals in Covered Process.","Long Integer",0
"tblS2ToxicsWorstCase","ptrGraphic",,"The DOS file name for the toxics worst case graphic accompanying the scenario.  Should be “.JPG,” or “.GIF” with up to an 8-character prefix.","Text",0
"tblS2ToxicsWorstCase","QuantityReleased","2.5 Quantity released (lbs)","The quantity of the chemical released in pounds during the worst case scenario.","Double",1
"tblS2ToxicsWorstCase","ReleaseDuration","2.7 Release duration (min)","Indicate the length of time in minutes for the vessel, pipeline, or other location of the regulated substance to release all of its contents.  For gasses, the duration is 10 minutes.","Single",1
"tblS2ToxicsWorstCase","ReleaseRate","2.6 Release rate (lbs/min)","The release rate of the chemical in pounds per minute.","Double",1
"tblS2ToxicsWorstCase","ResidentialPopulation","2.12 Residential population within distance to endpoint","Population within the distance to endpoint of the area encompassed by the endpoint.  Need only include residential populations and may be rounded to two significant digits.","Long Integer",1
"tblS2ToxicsWorstCase","Scenario",,"A code representing the toxics worst case scenario.","Text",0
"tblS2ToxicsWorstCase","StabilityClass",,"Stability Class - “F” unless local meteorological data can demonstrate otherwise.","Text",0
"tblS2ToxicsWorstCase","Topography",,"A code representing whether the local topography is urban or rural.","Text",0
"tblS2ToxicsWorstCase","ToxicID",,"Unique identifier for Section 2 Toxics Worst Case record destination table.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS2ToxicsWorstCase","WindSpeed",,"The wind speed in meters per second. This is 1.5 meters per second unless local meteorological data applicable to the source is used to show a higher
minimum wind speed at all times during the last 3 years.","Single",0
"tblS3ToxicsAltReleases","AM_DelugeSystems",,"A system to overflow an area of a release with water or other extinguishing fluid.","Yes/No",0
"tblS3ToxicsAltReleases","AM_EmergencyShutdown",,"Controls that are triggered when process limits are exceeded and that shut down that process.","Yes/No",0
"tblS3ToxicsAltReleases","AM_ExcessFlowValve",,"A system for diverting overflow.","Yes/No",0
"tblS3ToxicsAltReleases","AM_Flares",,"A device for disposing of combustible gases from a chemical process by burning them in the open.","Yes/No",0
"tblS3ToxicsAltReleases","AM_Neutralization",,"Making a toxic chemical harmless through chemical reaction.","Yes/No",0
"tblS3ToxicsAltReleases","AM_OtherType",,"The type of active mitigation in place if other than those listed in 3.16.a. through 3.16.h.","Text",0
"tblS3ToxicsAltReleases","AM_Scrubbers",,"A pre-release protection measure that uses water or aqueous mixtures containing scrubbing reagents to remove discharging liquids and possibly also treating the discharging chemical.","Yes/No",0
"tblS3ToxicsAltReleases","AM_SprinklerSystems",,"A system for protecting a building against fire by means of overhead pipes which convey an extinguishing fluid through heat activated outlets.","Yes/No",0
"tblS3ToxicsAltReleases","AM_WaterCurtain",,"A spray of water from a horizontal pipe through nozzles, the curtain may be activated manually or automatically.","Yes/No",0
"tblS3ToxicsAltReleases","AnalyticalBasis",,"The analytical basis for choosing the Toxics Alternative Release Scenario.  Users may add their own data source if it is not on the list.  One of the
following is expected:
EPA’s OCA Guidance Reference Tables or Equations; 
EPA’s RMP Guidance for Ammonia Refrigeration
Reference Tables or Equations;
EPA’s RMP Guidance for Wastewater Treatment
Plants Reference Tables or Equations;
EPA’s RMP Guidance for Warehouses Reference
Tables or Equations;
EPA’s RMP Guidance for Chemical Distributors
Reference Tables or Equations;
EPA’s RMP*Comp (TM);
Areal Locations of Hazardous Atmosphere
[Aloha(R)];
Other Model Name.","Text",0
"tblS3ToxicsAltReleases","CBI_Flag",,"Set if record contains CBI data.","Yes/No",0
"tblS3ToxicsAltReleases","Distance2Endpoint","3.11 Distance to endpoint  (miles)","The distance to the endpoint of the toxics alternative release scenario in miles using the endpoint specified for the chemical in Appendix A of the Risk Management Program Rule.","Single",1
"tblS3ToxicsAltReleases","ER_FedWilderness",,"An indication that federal wilderness areas are within a circle whose center is the point of the release and radius is determined by the distance to the endpoint for the alternative release scenario.","Yes/No",0
"tblS3ToxicsAltReleases","ER_NatlStateParks",,"An indication that national or state parks, forests, or monuments are within a circle whose center is the point of the release and radius is determined by
the distance to the endpoint for the alternative release scenario.","Yes/No",0
"tblS3ToxicsAltReleases","ER_OtherType",,"The type of environmental receptor if the environmental receptor is other than those listed in 3.14.a. through 3.14.c.","Text",0
"tblS3ToxicsAltReleases","ER_WildlifeSactuary",,"An indication that officially designated wildlife sanctuaries, preserves, or refuges are within a circle whose center is the point of the release and
radius is determined by the distance to the endpoint.","Yes/No",0
"tblS3ToxicsAltReleases","PercentWeight","3.1.b Percent weight of chemical in mixture","Percent weight of the regulated substance in the chemical evaluated.","Single",1
"tblS3ToxicsAltReleases","PhysicalState",,"Code representing the physical state of the toxic chemical as it is released in the scenario.","Text",0
"tblS3ToxicsAltReleases","PM_Berms",,"An indication that a mound or wall of earth at the top or bottom of a slope that prevents a spill from spreading is in place.","Yes/No",0
"tblS3ToxicsAltReleases","PM_Dikes",,"An indication that a low wall that acts as a barrier to prevent a spill from spreading is in place.","Yes/No",0
"tblS3ToxicsAltReleases","PM_Drains",,"An indication that a channel that carries off surface
water is in place.","Yes/No",0
