table_name	database_field_name	field_type	rtknet_field_name	description	percent_blank
rmp_alt_flam	pr_residences	char(1)	Public Receptors - Residences	Indicates whether residences are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_flam	pr_hospitals	char(1)	Public Receptors - Hospitals	Indicates whether hospitals are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_flam	pr_prisons	char(1)	Public Receptors - Prisons	Indicates whether prisons are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_flam	pr_public_rec	char(1)	Public Receptors - Recreation Areas	Indicates whether recreation areas are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_flam	pr_comm_ind	char(1)	Public Receptors - Commercial	Indicates whether commercial, office, or industrial areas are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_flam	pr_othertype	varchar(200)	Public Receptors - Other	Description of other public receptors present within the modelled endpoint distance radius. (data not released to public by EPA)	100
rmp_alt_flam	er_natlstateparks	char(1)	Environmental Receptors - Parks	Indicates whether national or state parks are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_flam	er_wildlifesanct	char(1)	Environmental Receptors - Wildlife	Indicates whether wildlife sanctuaries or preserves are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_flam	er_fedwilderness	char(1)	Environmental Receptors - Wilderness	Indicates whether Federally designated wilderness areas are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_flam	er_othertype	varchar(200)	Environmental Receptors - Other	Description of other environmental receptors present within the modelled endpoint distance radius. (data not released to public by EPA)	100
rmp_alt_flam	pm_dikes	char(1)	Passive Mitigation - Dikes	Indicates whether dikes as a passive mitigation measure were considered in estimating the release quantity or rate for the scenario.	0
rmp_alt_flam	pm_firewalls	char(1)	Passive Mitigation - Fire Walls	Indicates whether fire walls as a passive mitigation measure were considered in estimating the release quantity or rate for the scenario.	0
rmp_alt_flam	pm_blastwalls	char(1)	Passive Mitigation - Blast Walls	Indicates whether blast walls as a passive mitigation measure were considered in estimating the release quantity or rate for the scenario.	0
rmp_alt_flam	pm_enclosures	char(1)	Passive Mitigation - Enclosures	Indicates whether enclosures as a passive mitigation measure were considered in estimating the release quantity or rate for the scenario.	0
rmp_alt_flam	pm_othertype	varchar(200)	Passive Mitigation - Other	Description of another passive mitigation measure considered in estimating the release quantity or rate for the scenario.	93.195463642428
rmp_alt_flam	am_sprinklers	char(1)	Active Mitigation - Sprinklers	Indicates whether sprinklers were considered as active mitigation methods that affected the release quantity or rate in the scenario.	0
rmp_alt_flam	am_delugesystems	char(1)	Active Mitigation - Deluge Systems	Indicates whether deluge systems were considered as active mitigation methods that affected the release quantity or rate in the scenario.	0
rmp_alt_flam	am_watercurtain	char(1)	Active Mitigation - Water Curtain	Indicates whether a water curtain was considered as an active mitigation method that affected the release quantity or rate in the scenario.	0
rmp_alt_flam	am_excessflowvalve	char(1)	Active Mitigation - Excess Flow Valves	Indicates whether excess flow valves were considered as active mitigation methods that affected the release quantity or rate in the scenario.	0
rmp_alt_flam	am_othertype	varchar(200)	Active Mitigation - Other	Description of another method considered as an active mitigation method that affected the release quantity or rate in the scenario.	73.21177081017
rmp_alt_flam	ptrgraphic	varchar(12)	Graphics File	Graphics file name included with submission. (data not released to public by EPA)	100
rmp_alt_flam	cbi_flag	char(1)	Confidential Business Information	Indicates whether this record contained Confidential Business Information (CBI) which has been erased by EPA from the public version of the data.	0
rmp_alt_tox	toxic_id	int(11)	Toxic Scenario ID	A unique ID for each alternate case toxics release scenario record.	0
rmp_alt_tox	procchem_id	int(11)	Process Chemical Record ID	A unique identifier for each process chemical record.	0
rmp_alt_tox	percent_weight	float	Percent Weight (Within Mixture)	If the scenario involves the release of a mixture containing a regulated substance, the percentage weight of the regulated substance in the mixture.	64.008586420735
rmp_alt_tox	physical_state	char(1)	Physical State	The physical state (gas, liquid, etc.) of the chemical in the modelled vessel.	0.017036549076619
rmp_alt_tox	analytical_basis	varchar(255)	Model Used	The model used, or analytical basis, for the release scenario.	0.0079503895690889
rmp_alt_tox	scenario	varchar(200)	Release Scenario	Indicates gas release or liquid spill. (data not released to public by EPA)	100
rmp_alt_tox	quantity_lbs	double	Amount Released (lbs)	The amount released in the scenario, in lbs. (data not released to public by EPA)	100
rmp_alt_tox	release_duration	float	Release Duration (HHHMM)	Approximate duration of accidental release in hours and minutes (HHHMM) (data not released to public by EPA)	100
rmp_alt_tox	release_rate	float	Release Rate (lbs/minute)	The rate in lbs/minute at which the modelled release takes place. (data not released to public by EPA)	100
rmp_alt_tox	wind_speed	float	Wind Speed	Wind speed at the time of the accident.	0.014765009199737
rmp_alt_tox	stability_class	char(1)	Atmospheric Stability Class	The atmospheric stability class at the time of the accident.	0.014765009199737
rmp_alt_tox	topography	char(1)	Topography	Indicates whether the topography surrounding the facility is urban or rural.	0.0056788496922063
rmp_alt_tox	endpoint_distance	float	Endpoint Distance (miles)	The furthest distance that the release would reach from the facility, in miles. (data not released to public by EPA)	100
rmp_alt_tox	population	varchar(9)	Population	The population living within the endpoint distance used as a radius. (data not released to public by EPA)	100
rmp_alt_tox	pr_schools	char(1)	Public Receptors - Schools	Indicates whether schools are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_tox	pr_residences	char(1)	Public Receptors - Residences	Indicates whether residences are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_tox	pr_hospitals	char(1)	Public Receptors - Hospitals	Indicates whether hospitals are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_tox	pr_prisons	char(1)	Public Receptors - Prisons	Indicates whether prisons are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_tox	pr_public_rec	char(1)	Public Receptors - Recreation Areas	Indicates whether recreation areas are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_tox	pr_comm_ind	char(1)	Public Receptors - Commercial	Indicates whether commercial, office, or industrial areas are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_tox	pr_othertype	varchar(200)	Public Receptors - Other	Description of other public receptors present within the modelled endpoint distance radius. (data not released to public by EPA)	100
rmp_alt_tox	er_natlstateparks	char(1)	Environmental Receptors - Parks	Indicates whether national or state parks are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_tox	er_wildlifesanct	char(1)	Environmental Receptors - Wildlife	Indicates whether wildlife sanctuaries or preserves are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_tox	er_fedwilderness	char(1)	Environmental Receptors - Wilderness	Indicates whether Federally designated wilderness areas are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
rmp_alt_tox	er_othertype	varchar(200)	Environmental Receptors - Other	Description of other environmental receptors present within the modelled endpoint distance radius. (data not released to public by EPA)	100
rmp_alt_tox	pm_dikes	char(1)	Passive Mitigation - Dikes	Indicates whether dikes as a passive mitigation measure were considered in estimating the release quantity or rate for the scenario.	0
rmp_alt_tox	pm_enclosures	char(1)	Passive Mitigation - Enclosures	Indicates whether enclosures as a passive mitigation measure were considered in estimating the release quantity or rate for the scenario.	0
rmp_alt_tox	pm_berms	char(1)	Passive Mitigation - Berms	Indicates whether berms as a passive mitigation measure were considered in estimating the release quantity or rate for the scenario.	0
rmp_alt_tox	pm_drains	char(1)	Passive Mitigation - Drains	Indicates whether drains as a passive mitigation measure were considered in estimating the release quantity or rate for the scenario.	0
rmp_alt_tox	pm_sumps	char(1)	Passive Mitigation - Sumps	Indicates whether sumps as a passive mitigation measure were considered in estimating the release quantity or rate for the scenario.	0
rmp_alt_tox	pm_othertype	varchar(200)	Passive Mitigation - Other	Description of another passive mitigation measure considered in estimating the release quantity or rate for the scenario.	94.132612498012
rmp_alt_tox	am_sprinklers	char(1)	Active Mitigation - Sprinklers	Indicates whether sprinklers were considered as active mitigation methods that affected the release quantity or rate in the scenario.	0
rmp_alt_tox	am_delugesystems	char(1)	Active Mitigation - Deluge Systems	Indicates whether deluge systems were considered as active mitigation methods that affected the release quantity or rate in the scenario.	0
rmp_alt_tox	am_watercurtain	char(1)	Active Mitigation - Water Curtain	Indicates whether a water curtain was considered as an active mitigation method that affected the release quantity or rate in the scenario.	0
rmp_alt_tox	am_neutralization	char(1)	Active Mitigation - Neutralization	Indicates whether neutralization was considered as an active mitigation method that affected the release quantity or rate in the scenario.	0
rmp_alt_tox	am_excessflowvalve	char(1)	Active Mitigation - Excess Flow Valves	Indicates whether excess flow valves were considered as active mitigation methods that affected the release quantity or rate in the scenario.	0
rmp_alt_tox	am_flares	char(1)	Active Mitigation - Flares	Indicates whether flares were considered as active mitigation methods that affected the release quantity or rate in the scenario.	0
rmp_alt_tox	am_scrubbers	char(1)	Active Mitigation - Scrubbers	Indicates whether scrubbers were considered as active mitigation methods that affected the release quantity or rate in the scenario.	0
rmp_alt_tox	am_emerg_shutdown	char(1)	Active Mitigation - Emergency Shutdown	Indicates whether an emergency shutdown was considered as an active mitigation method that affected the release quantity or rate in the scenario.	0
rmp_alt_tox	am_othertype	varchar(200)	Active Mitigation - Other	Description of another method considered as an active mitigation method that affected the release quantity or rate in the scenario.	78.725893283057
rmp_alt_tox	ptrgraphic	varchar(12)	Graphics File	Graphics file name included with submission. (data not released to public by EPA)	100
rmp_alt_tox	cbi_flag	char(1)	Confidential Business Information	Indicates whether this record contained Confidential Business Information (CBI) which has been erased by EPA from the public version of the data.	0
rmp_execsum	rmp_id	int(11)	RMP ID	The unique ID for each RMP submission.	0
rmp_execsum	execsum	mediumtext	Executive Summary	The executive summary of an RMP submission.	92.072882460422
rmp_facility	facility_id	char(12)	Facility ID	A unique ID for each facility.	0
rmp_facility	facility_name	varchar(250)	Facility Name	The name of the facility.	0
rmp_facility	marplot_id	varchar(16)	MARPLOT ID	The ID for the facility within the MARPLOT software package.	100
rmp_facility	cameo_id	varchar(10)	CAMEO ID	The ID for the facility within the CAMEO software package.	100
rmp_facility	rmp_id	bigint(20)	RMP ID	The unique ID for each RMP submission.	0
rmp_facility	street_1	varchar(50)	Street Address Line 1	The first line of the street address of the physical location of the facility.	0
rmp_facility	street_2	varchar(35)	Street Address Line 2	The second line of the street address of the physical location of the facility.	91.011954543218
rmp_facility	city	varchar(19)	City	The city in which the facility is physically located.	0
rmp_facility	state	char(2)	State	The postal abbreviation for the U.S. state in which the facility is physically located.	0
rmp_facility	zip	varchar(5)	Zip Code	The Zip code within the address for the physical location of the facility.	0
rmp_facility	zip_ext	varchar(4)	Zip Code Extension	The extension (to 9 digits) of the Zip code within the address of the physical location of the facility.	82.319082993063
rmp_facility	county_fips	varchar(5)	County FIPS Code	The FIPS code for the county in which the facility is located.	0
rmp_facility	num_registrations	int(11)	EPA Number of Registrations	The number of registrations for this facility, as counted by EPA.	0
rmp_facility	latitude_dec	char(10)	Latitude	The latitude of the facility in decimal degrees.	0
rmp_facility	longitude_dec	char(11)	Longitude	The longitude of the facility in decimal degrees.	0
rmp_facility	num_registration	int(11)	Number of RMP Submissions	The number of registrations (RMP submissions) for this facility.	0
rmp_facility	sub_type	char(1)	Submission Type	The type of the most recent RMP submission for this facility.	0
rmp_facility	sub_date	date	Submission Date	The date of the most recent RMP submission for this facility.	0
rmp_facility	exec_type	char(1)	Executive Summary Type	The type of executive summary (e.g. whether it is good or not) in the most recent RMP submission for this facility.	0
rmp_facility	execsum_rmp_id	int(11)	Exec Summary RMP ID	The RMP ID of the most recent submission for this facility that has a useable executive summary.	0
rmp_facility	exec_sub_type	char(1)	Exec Summary Submission Type	The type of submission for the most recent submission for this facility that has a useable executive summary.	0
rmp_facility	exec_sub_date	date	Exec Summary Submission Date	The submission date of the most recent submission for this facility that has a useable executive summary.	0
rmp_facility	deregistration_date	date	Deregistration Date	The date on which this facility was deregistered from the RMP database (i.e., no longer has processes with potential off-site consequences).	60.613961725783
rmp_facility	dereg_effect_date	date	Deregistration Effective Date	The date on which the change in processes leading to deregistration actually occured.	60.613961725783
rmp_facility	parent	varchar(50)	Parent Company	The parent company that owns at least 50% of the voting stock of the company that owns the facility.	27.077286367885
rmp_facility	parent_2	varchar(50)	Second Parent Company	If the facility is owned by a 50/50 joint venture, the name of the second parent company.	88.778471983077
rmp_facility	operator_name	varchar(35)	Owner or Operator Name	The name of the owner or operator of the facility.	0
rmp_facility	operator_city	varchar(20)	Owner or Operator City	The city in the mailing address of the owner or operator.	0
rmp_facility	operator_state	char(2)	Owner or Operator State	The postal abbreviation for the state in the mailing address of the owner or operator.	0.40832390416687
rmp_facility	operator_zip	char(5)	Owner or Operator Zip	The 5-digit Zip code in the mailing address of the owner or operator.	0.40832390416687
rmp_facility	province	varchar(35)	Owner or Operator Province	The foreign province in the mailing address of the owner or operator.	99.591676095833
rmp_facility	county	varchar(60)	County	A translation of the county FIPS code for the county that the facility is located in.	0.0098391302208885
rmp_facility	country	varchar(50)	Country	A translation of the foreign country code.	99.586756530723
rmp_facility	sub_reason	char(3)	Reason For Submission	A code indicating the reason for submission.	24.351847296699
rmp_facility	dereg_reason	char(2)	Deregistration Reason	A code indicating the reason for deregistration of the facility.	67.840802873026
rmp_facility	dereg_other	varchar(80)	Deregistration Reason (Other)	Text describing a non-standard reason for deregistration of the facility.	95.095193584887
rmp_facility	toxic_tot	double	Process Toxic Amount Total (lbs)	The total amount of toxic chemicals held in the facility's processes.	15.550745314114
rmp_facility	flam_tot	double	Process Flammable Amount Total (lbs)	The total amount of flammable chemicals held in the facility's processes.	80.769419983273
rmp_facility	quantity_tot	double	Process Amount Total (lbs)	The total amount of RMP regulated chemicals held in the facility's processes.	0.073793476656664
rmp_facility	num_proc_23	int(11)	Number of Potential Offsite Consequence Processes	The number of processes at the facility in Program 2 or 3 (i.e. with potential off-site consequences).	5.9625129138584
rmp_facility	toxic_tot_23	double	Potential Offsite Consequence Toxic Amount Total (lbs)	The total amount of toxic chemical held in Program 2 or 3 processes (i.e. with potential off-site consequences).	17.16928223545
rmp_facility	flam_tot_23	double	Potential Offsite Consequence Flammable Amount Total (lbs)	The total amount of flammable chemical held in Program 2 or 3 processes (i.e. with potential off-site consequences).	85.38397205687
rmp_facility	quantity_tot_23	double	Potential Offsite Consequence Amount Total (lbs)	The total amount of RMP chemicals held in Program 2 or 3 processes (i.e. with potential off-site consequences).	6.0117085649629
rmp_facility	all_naics	varchar(100)	All Process NAICS	All NAICS codes for all of the facility's processes, separated by spaces.	0.0049195651104442
rmp_facility	sortid_1	int(11)	Sortid 1	A unique ID for facilities sorted by name.	0
rmp_facility	sortid_2	int(11)	Sortid 2	A unique ID for facilities sorted by state and name.	0
rmp_facility	sortid_3	int(11)	Sortid 3	A unique ID for facilities sorted by descending amount.	0
rmp_facility	deregistration_yn	char(1)	Deregistered (Yes/No)	Indicates whether the facility has deregistered from RMP.  Field added by RTK NET.	0
rmp_facility	num_fte	int(11)	Number of Full Time Employees	The number of full-time equivalent employees working at the site (part-time employees add fractions).	8.5108476410685
rmp_facility	num_accident	int(11)	Number of RMP Accidents	The number of accident records (i.e. accidents reported within the RMP database) for this submission.	93.781669700398
rmp_facility	acc_flam_tot	double	RMP Accident Flammable Total (lbs)	The total amount of flammable chemicals released in accidents listed in the submission.	98.883258719929
rmp_facility	acc_toxic_tot	double	RMP Accident Toxic Total (lbs)	The total amount of toxic chemicals released in accidents listed in the submission.	94.672110985389
rmp_facility	acc_quantity_tot	double	RMP Accident Amount Total (lbs)	The total amount of both toxic and flammable chemicals released in accidents listed in the submission.	93.79642839573
rmp_facility	num_deaths	int(11)	Total RMP Accident Deaths	The total number of people killed due to accidents listed in the submission.	99.857332611797
rmp_facility	num_injuries	int(11)	Total RMP Accident Injuries	The total number of people injured or hospitalized due to accidents listed in the submission.	96.876076154868
rmp_facility	num_evacuated	int(11)	Total RMP Accident Evacuated/Sheltering In Place	The total number of people evacuated or sheltering in place due to accidents listed in the submission.	98.799626113052
rmp_facility	property_damage	bigint(20)	Total RMP Accident Property Damage	The total property damage, in dollars, due to accidents listed in the submission.	98.273232646234
rmp_prev2text	prevent_2_id	int(11)	Prevention Program ID	A unique ID for each prevention program (for Program 2 processes) record.	0
rmp_prev2text	desctext	mediumtext	Prevention Program Description	A text description for the prevention program.	99.402969162291
rmp_prev3text	prevent_3_id	int(11)	Prevention Program ID	A unique ID for each prevention program (for Program 3 processes) record.	0
rmp_prev3text	desctext	mediumtext	Prevention Program Description	A text description for the prevention program.	97.562834281198
